date,display_name,cum_moreyRate_team,cum_stealRate_team,cum_ftRate_team,cum_oRebRate_team,cum_threePointRate_team,cum_dRebRate_team,cum_blockRate_opp,cum_moreyRate_opp,cum_stealRate_opp,cum_ftRate_opp,cum_oRebRate_opp,cum_threePointRate_opp,cum_dRebRate_opp,cum_blockRate_team,cum_paintRate_team,cum_paintRate_opp,cum_oRating_team,cum_dRating_team,cum_winPct
2022-04-26,Atlanta Hawks,0.5833333333333334,0.06678004535147393,0.2504164353137146,0.22789783889980353,0.390199888950583,0.766629711751663,0.05011104941699056,0.6052511934530576,0.06569674926119573,0.22528451940216648,0.23337028824833703,0.39640751405457286,0.7721021611001965,0.04703139997257644,0.4627984453081621,0.46482928835870013,1.05124716553288,1.042282336894749,0.5057471264367817
2022-04-25,Boston Celtics,0.6362812818480353,0.07111312422149246,0.2397279289283731,0.24274553571428573,0.42143253747917825,0.7702308304590076,0.05358134369794559,0.582928208027134,0.06840022611644997,0.23609958506224063,0.2297691695409923,0.39308437067773166,0.7572544642857143,0.06625172890733057,0.45544142143253746,0.44910096818810513,1.0447287962858114,0.9689089881288864,0.6395348837209303
2022-04-28,New Orleans Pelicans,0.5906137992831542,0.069668458781362,0.26928874880087705,0.26834551854860544,0.3611073043716596,0.7824244136761798,0.05413183500068521,0.5917192516329016,0.07450459426547106,0.24605060813644625,0.2175755863238203,0.41199496714665174,0.7316544814513946,0.04613448902558367,0.487049472385912,0.44988116874038864,1.0173611111111112,1.0173807151555407,0.4318181818181818
2022-04-27,Chicago Bulls,0.5462241033637781,0.06504789485408777,0.24135555861688937,0.20279329608938548,0.33461909353905495,0.7824993010902991,0.05772144923543187,0.6048017867113344,0.0667783361250698,0.2503779029819981,0.2175006989097009,0.3695204067610279,0.7972067039106145,0.04644771196921808,0.44303623088579697,0.4900371032018689,1.028514145689463,1.0371859296482413,0.5402298850574713
2022-04-10,Cleveland Cavaliers,0.6023532236763117,0.08032176731900588,0.260526707335218,0.24068598462448257,0.3862520458265139,0.7637862421830586,0.0553489064127362,0.5945241199478487,0.06661135474694797,0.21734104046242775,0.23621375781694143,0.3816473988439306,0.7593140153755175,0.04826589595375722,0.5021574170510341,0.4893063583815029,1.0248529235202306,0.9892141756548536,0.5365853658536586
2022-04-29,Dallas Mavericks,0.6055347623908359,0.06419417035272769,0.250771821498737,0.21011888305225324,0.445551501543643,0.7812065610230747,0.04336233511086163,0.5816326530612245,0.063718820861678,0.24462856340401629,0.2187934389769252,0.3769133548658896,0.7898811169477468,0.04535879792164022,0.4263261296660118,0.4844825165004915,1.030622660768969,0.9870748299319728,0.6363636363636364
2022-04-28,Denver Nuggets,0.6100381765102179,0.07388277565686055,0.248030388294879,0.2222545878240606,0.41010129431626335,0.7832741186116425,0.05557118739448508,0.6059388256307211,0.06675597231524893,0.2482682183430313,0.21672588138835747,0.3948462177888612,0.7777454121759394,0.04308672762538099,0.46679797411367474,0.4799113327791632,1.044913541432742,1.018977450323733,0.5632183908045977
2022-04-10,Detroit Pistons,0.5983577712609971,0.0681524926686217,0.24234916933838532,0.23282023089609677,0.38720489653162343,0.7543326238978413,0.0584377732439522,0.6107876915765712,0.07045265534038256,0.29181015122024256,0.24566737610215872,0.3805958975894595,0.7671797691039033,0.05584668363527474,0.4860099096473331,0.49962569246893246,0.9465102639296188,1.0348105025543544,0.2804878048780488
2022-04-28,Golden State Warriors,0.644523836105839,0.07178742882661605,0.23658330991851645,0.23013386499572772,0.4570103961787018,0.7834635065984379,0.04341107052542849,0.6051889452904682,0.08245910885504794,0.26160751858605696,0.21653649340156209,0.4119792397250666,0.7698661350042723,0.05372422499649319,0.426664793481315,0.4683686351521952,1.0240035726247627,0.9764241398759164,0.6551724137931034
2022-04-10,Houston Rockets,0.6662351418147582,0.08650111804166176,0.2799453468954,0.2152161042036708,0.44800364354030664,0.7453397474443776,0.06786093821162896,0.6263542157324541,0.06464908148845973,0.26054195044196493,0.25466025255562236,0.39936241124474714,0.7847838957963292,0.05028256774380525,0.4962805526036132,0.4912331546152732,0.9782276097446158,1.0668864813942531,0.24390243902439024
2022-04-10,Indiana Pacers,0.6202456886369005,0.0752421450507914,0.23396334478808703,0.25689404934687954,0.3964776632302406,0.7630714072303555,0.05326460481099656,0.6113738472452116,0.06384488058642705,0.2572342591246183,0.23692859276964445,0.3660026174203868,0.7431059506531205,0.06369056274538316,0.4782359679266896,0.5000727061218555,1.0271674935034254,1.0599432489950342,0.3048780487804878
2022-04-11,LA Clippers,0.552159788232463,0.07207315605823607,0.21833802399644495,0.20416544441185097,0.39090505110354024,0.7466850828729282,0.04680788031402755,0.5963302752293578,0.0692901979719942,0.2165213662998428,0.2533149171270718,0.3730170072888381,0.795834555588149,0.05402315277976275,0.4378610576210932,0.509218236387023,1.0026470942124894,1.0061564461612746,0.5121951219512195
2022-04-11,Los Angeles Lakers,0.6274219284248918,0.07545019375427399,0.25694643368662273,0.21152216887884775,0.384417072472071,0.7562814070351759,0.04611859066170152,0.6132483496471659,0.06885954928295014,0.2556317335945152,0.24371859296482412,0.3930320414159787,0.7884778311211522,0.05680705190989226,0.467774276711544,0.4885966139639009,1.0030772737633915,1.031413612565445,0.4024390243902439
